player,fantasy_points_next_year,fantasy_points_ppr_next_year
Lamar Jackson,349.90173,321.06857
Dak Prescott,288.2248,274.64334
Deshaun Watson,272.04688,256.651
Jameis Winston,274.53464,253.08168
Russell Wilson,267.3668,250.62257
Patrick Mahomes,258.75775,245.47267
Kyler Murray,253.20348,238.85149
Carson Wentz,240.8515,228.70639
Josh Allen,239.45332,224.90031
Jared Goff,223.59352,213.59846
Matt Ryan,221.07542,210.98065
Gardner Minshew,215.27023,208.77385
Derek Carr,210.96013,200.75093
Daniel Jones,208.66646,199.36926
Baker Mayfield,208.93413,198.94266
Aaron Rodgers,211.38963,198.88625
Jimmy Garoppolo,210.39055,198.03816
Kirk Cousins,206.04736,197.84988
Sam Darnold,197.02917,191.23848
Mitchell Trubisky,192.04172,186.29124
Ryan Tannehill,189.62152,183.58028
Tom Brady,190.31508,181.36658
Ryan Fitzpatrick,185.67435,176.06075
Jacoby Brissett,185.34389,175.63045
Kyle Allen,183.38292,175.3992
Drew Brees,183.94075,174.21524
Philip Rivers,182.44359,172.20757
Andy Dalton,176.13992,171.06453
Matthew Stafford,163.67392,153.43285
Mason Rudolph,131.12068,123.9865
Dwayne Haskins,110.38673,105.31196
Case Keenum,106.27802,101.83781
Drew Lock,99.0881,95.52743
Marcus Mariota,98.93126,94.156845
Teddy Bridgewater,99.3417,93.04202
Joe Flacco,95.11636,91.90877
Jeff Driskel,82.93897,82.14161
Devlin Hodges,85.09147,80.88451
David Blough,81.128746,79.83865
Nick Foles,70.18811,65.98873
Eli Manning,66.6955,63.194885
Ryan Finley,62.447884,60.38091
Brandon Allen,57.495132,57.626343
Josh Rosen,53.459026,53.691452
Luke Falk,47.79998,47.967346
Matt Schaub,47.73204,47.52241
Matt Moore,49.234833,47.144173
Cam Newton,47.77841,46.460983
Will Grier,45.64425,45.94136
Chase Daniel,45.145573,45.546642
A.J. McCarron,43.788383,43.850864
Brian Hoyer,43.240517,42.794643
Matt Barkley,41.791977,42.38689
Trace McSorley,40.22447,41.02137
Nick Mullens,40.069763,40.860973
Jarrett Stidham,37.850296,37.94656
Mike Glennon,37.808887,37.42325
Colt McCoy,37.199657,37.10255
Brett Hundley,37.59741,36.89615
Robert Griffin,35.40551,35.78042
Ben Roethlisberger,37.098804,35.713764
Trevor Siemian,35.171154,35.387188
Cooper Rush,34.9604,35.177467
Tim Boyle,35.203957,35.012104
Sean Mannion,34.41426,34.296356
Alex Tanney,33.176968,32.800762
Ryan Griffin,33.053104,32.373924
Blake Bortles,32.37546,32.34263
David Fales,33.009575,32.260284
Garrett Gilbert,29.5244,29.325356
Tyrod Taylor,27.477238,27.259563
Josh McCown,28.782473,26.739685
Taysom Hill,26.494745,21.801054
