player,fantasy_points_next_year,fantasy_points_ppr_next_year
Christian McCaffrey,285.21515,350.84344
Austin Ekeler,168.72527,238.65137
Ezekiel Elliott,203.4521,232.739
Dalvin Cook,198.88972,229.57195
Derrick Henry,207.04643,222.6078
Leonard Fournette,176.36003,222.42368
Saquon Barkley,174.69034,214.75311
Alvin Kamara,160.43312,210.88301
Nick Chubb,186.5678,210.46774
Aaron Jones,186.9339,206.82312
Josh Jacobs,165.9633,189.63643
Chris Carson,161.1806,185.98842
Miles Sanders,139.39043,180.7418
Joe Mixon,152.04118,178.54617
Kenyan Drake,136.8169,169.80005
Le'Veon Bell,122.50561,167.3168
James White,97.268456,159.58568
Marlon Mack,144.66103,158.67575
Devin Singletary,128.5223,157.35432
Phillip Lindsay,128.22133,150.0302
Devonta Freeman,112.72271,148.75551
Mark Ingram,125.47163,147.97487
Todd Gurley,130.4948,147.25667
David Montgomery,127.60522,146.6867
Melvin Gordon,117.063835,144.29756
Tarik Cohen,79.32512,138.84317
James Conner,106.26153,137.27469
Ronald Jones,116.72431,137.23253
Jamaal Williams,89.43933,124.55308
Sony Michel,112.11971,123.27668
Damien Williams,95.59796,121.60675
Royce Freeman,91.330696,121.14317
Kareem Hunt,82.990524,118.53933
Jordan Howard,98.10331,118.37034
Raheem Mostert,103.956856,116.65835
Duke Johnson,80.65125,113.51626
Kerryon Johnson,92.132835,112.243675
Carlos Hyde,104.42417,111.495056
Matt Breida,92.27735,111.16871
David Johnson,74.74233,103.93983
Boston Scott,78.88182,103.652214
Chris Thompson,63.095398,100.399376
Tevin Coleman,84.39249,99.52703
Latavius Murray,81.22258,99.370155
Gus Edwards,87.161804,97.562416
Nyheim Hines,64.80937,96.01237
Jaylen Samuels,59.77852,92.137665
Alexander Mattison,78.291885,91.19567
Rashaad Penny,75.53296,89.8619
DeAndre Washington,68.90669,89.642006
Tony Pollard,74.38401,89.15098
Adrian Peterson,78.54676,87.0704
Derrius Guice,68.557175,84.38601
Rex Burkhead,62.697273,83.16132
Chase Edmonds,67.356346,82.1227
Benny Snell,72.626785,81.03839
LeSean McCoy,60.829117,78.38126
Bo Scarbrough,68.61843,78.18661
Peyton Barber,69.126396,77.74355
Jalen Richard,46.702538,75.423355
Brian Hill,61.27946,74.399055
Mark Walton,56.62169,72.07592
Ty Johnson,52.605854,71.59304
J.D. McKissic,42.862717,70.13631
Darrel Williams,53.771614,69.1773
Patrick Laird,44.5006,67.67486
Dare Ogunbowale,36.797752,60.558
Kalen Ballage,45.764904,59.084423
Justice Hill,46.449562,58.928104
Giovani Bernard,36.021683,57.751682
Jordan Wilkins,47.55315,57.74847
Myles Gaskin,46.85956,57.67528
Malcolm Brown,47.547287,56.8538
Ryquell Armstead,35.715088,55.39329
Jonathan Williams,45.223145,55.243656
Justin Jackson,42.968586,54.851757
Ito Smith,41.768356,54.70471
Wayne Gallman,41.039185,54.406708
Jeff Wilson,42.429016,52.05671
Dion Lewis,32.388058,51.25616
Kyle Juszczyk,29.932455,51.142063
