player,fantasy_points_next_year,fantasy_points_ppr_next_year
Travis Kelce,119.24841,194.38545
George Kittle,119.437126,192.26321
Darren Waller,110.249855,181.59421
Mark Andrews,116.097115,176.16887
Zach Ertz,106.262924,175.3863
Austin Hooper,106.46652,172.53188
Hunter Henry,91.15256,141.77393
Tyler Higbee,81.24612,134.26442
Evan Engram,79.35257,126.52026
Dallas Goedert,79.532,126.125206
Mike Gesicki,72.38562,116.630554
Jared Cook,76.985695,115.91444
Noah Fant,65.80216,102.410545
Jacob Hollister,59.44011,99.953186
T.J. Hockenson,60.81976,95.62122
Gerald Everett,56.777267,94.658165
Eric Ebron,55.80665,91.96119
Greg Olsen,54.267506,91.22283
Kaden Smith,58.98841,91.15625
Will Dissly,57.991524,87.944725
Jonnu Smith,53.02606,84.90629
O.J. Howard,53.473476,83.84485
Irv Smith,50.03767,82.52793
Dawson Knox,51.566364,81.387856
Tyler Eifert,45.030563,80.56949
Ryan Griffin,50.848614,80.44764
Jason Witten,43.517193,78.25174
Jack Doyle,48.218117,77.662735
Jordan Akins,42.585793,74.62785
Blake Jarwin,44.145187,74.40818
Foster Moreau,46.443375,73.47295
Kyle Rudolph,44.12623,70.367004
Cameron Brate,38.54058,69.97195
Hayden Hurst,38.50931,68.286064
Vance McDonald,40.431683,68.03465
Nick Boyle,36.619705,63.40587
Jimmy Graham,35.549217,62.620045
Ricky Seals-Jones,38.228462,61.485676
Darren Fells,35.99323,57.121
Jeremy Sprinkle,31.388985,55.638374
C.J. Uzomah,31.194143,55.462948
Delanie Walker,30.165173,52.54958
James O'Shaughnessy,32.44504,51.272717
Demetrius Harris,32.119,49.20624
Josh Hill,26.102438,48.30507
Dan Arnold,30.073671,46.957863
Ian Thomas,24.231642,44.27509
Anthony Firkser,25.002333,44.000095
Rhett Ellison,24.472591,41.732655
Maxx Williams,23.096163,41.690796
Charles Clay,23.900902,41.268257
Ross Dwelley,22.007627,41.00588
Jesper Horsted,25.653955,39.90256
Logan Thomas,20.19686,38.238846
Adam Shaheen,22.20424,37.51976
Vernon Davis,22.401457,37.217678
Ben Watson,20.958029,36.991615
Ryan Izzo,23.677097,36.898502
Jesse James,19.87766,36.784634
Matt LaCosse,21.60581,36.609257
Nick Vannett,18.891912,35.98963
Joshua Perkins,21.869183,35.724102
Jeff Heuerman,20.81662,35.468853
David Njoku,22.650337,34.86881
Hale Hentges,21.657202,34.722744
Tommy Sweeney,21.399443,34.286304
Nick O'Leary,18.890862,33.737785
Geoff Swaim,19.008162,32.592834
Trey Burton,18.868332,32.543293
Seth Devalve,18.288204,32.53722
Robert Tonyan,19.400661,32.42646
Jaeden Graham,18.546022,32.13978
Derek Carrier,16.244263,29.313173
Stephen Carlson,18.416075,28.92253
Durham Smythe,14.441546,27.851782
Josh Oliver,18.362478,27.008455
Marcedes Lewis,14.554936,26.90911
Ben Braunecker,16.029482,26.68463
Ross Travis,15.149461,26.45724
Chris Herndon,17.665895,26.407911
Tyler Kroft,16.22357,26.264116
Troy Fumagalli,15.693312,26.163328
MyCole Pruitt,14.954213,26.04828
Luke Willson,15.909019,26.047024
Daniel Brown,13.603102,24.063578
Eric Saubert,15.8541155,23.703886
Virgil Green,14.288495,23.44761
Matt Lengel,13.469645,23.025595
J.P. Holtz,12.593423,22.756943
Blake Bell,13.041162,22.42143
Drew Sample,14.284841,22.271715
Jerell Adams,13.649048,22.241543
Richard Rodgers,13.649048,22.241543
Clive Walford,14.17546,22.078924
Isaac Nauta,15.778393,22.040274
Stephen Anderson,14.408005,22.032402
Tyler Conklin,13.405637,21.986723
Mo Alie-Cox,13.044337,21.979416
Charles Jones,15.041086,21.181622
Zach Gentry,14.957797,21.03072
Jordan Thomas,14.840777,20.916912
Xavier Grimble,13.146241,20.785698
Deon Yelder,12.973875,20.643684
Luke Stocker,12.382602,19.796768
Sean Culkin,13.060872,19.75969
Pharaoh Brown,12.003619,19.2952
Garrett Celek,11.769879,19.179607
Alex Ellis,12.589745,19.141953
Scott Simonson,12.497469,18.998335
Tyrone Swoopes,12.564734,18.353054
Tanner Hudson,11.791295,18.100328
Antony Auclair,11.779835,17.796339
Johnny Mundt,11.240077,17.394062
Lance Kendricks,10.969141,17.034847
Lee Smith,10.94974,16.800116
Trevon Wesco,10.76544,16.476046
Eric Tomlinson,11.0606165,16.40455
Ben Koyack,10.617042,16.299868
Dalton Schultz,10.003265,14.656712
Darrell Daniels,10.327861,14.635439
Chris Manhertz,8.746959,14.5996065
Levine Toilolo,8.876236,13.162867
