player,fantasy_points_next_year,fantasy_points_ppr_next_year
Michael Thomas,198.52489,319.0041
Chris Godwin,162.67775,245.02646
Julio Jones,144.12395,231.1456
Cooper Kupp,140.79651,222.12004
Keenan Allen,134.32173,219.61961
DeAndre Hopkins,136.9684,219.38414
Allen Robinson,134.22832,217.54813
D.J. Moore,139.4909,217.11934
Mike Evans,139.25002,208.96129
Amari Cooper,131.99806,205.41296
DeVante Parker,132.62692,203.89032
Davante Adams,127.86358,203.09465
Michael Gallup,131.1047,200.24413
Kenny Golladay,133.59354,200.21198
Robert Woods,123.324715,199.83382
Jarvis Landry,125.16417,198.61479
DJ Chark,129.44054,198.45746
Tyler Boyd,122.59719,197.37654
Julian Edelman,117.481094,192.95009
Courtland Sutton,124.549194,191.97789
Tyler Lockett,118.34564,187.44238
A.J. Brown,123.69316,179.96727
Stefon Diggs,120.08872,179.50313
Calvin Ridley,115.95275,178.1272
Tyreek Hill,116.37694,177.76416
John Brown,111.97704,173.93993
Terry McLaurin,113.62348,173.00691
Odell Beckham,107.40593,170.87221
Christian Kirk,104.701996,168.28906
Jamison Crowder,101.545525,166.78395
D.K. Metcalf,110.03898,164.20847
Marvin Jones,104.744095,161.75826
Darius Slayton,105.23564,160.72879
Sterling Shepard,96.00673,152.65395
Cole Beasley,92.656395,150.84612
Deebo Samuel,103.271835,148.47801
Mike Williams,96.78061,146.16675
Will Fuller,92.96031,143.89658
Dede Westbrook,84.47762,142.7674
Diontae Johnson,91.556564,142.3534
Curtis Samuel,90.73264,141.7909
Marquise Brown,89.64451,138.6227
Golden Tate,90.739685,137.92616
Hunter Renfrow,85.93125,136.61963
Preston Williams,86.76435,134.73875
Robby Anderson,86.959206,132.07993
John Ross,84.05569,129.37363
James Washington,84.38027,128.9614
Randall Cobb,80.98638,128.34653
Auden Tate,82.79508,128.0907
Sammy Watkins,81.82658,127.37299
JuJu Smith-Schuster,82.606,126.93442
Emmanuel Sanders,80.58877,125.7897
Breshad Perriman,80.743034,124.49358
Chris Conley,82.34562,124.41963
T.Y. Hilton,79.934204,122.22313
Tyrell Williams,79.53256,119.912895
Alshon Jeffery,78.62676,119.76253
Larry Fitzgerald,71.01962,118.898285
Anthony Miller,71.43606,115.070404
Kenny Stills,71.032364,112.77337
Zach Pascal,71.566216,109.73565
Corey Davis,70.06982,109.36677
Brandin Cooks,69.19262,108.36003
Nelson Agholor,68.045586,108.32894
Mecole Hardman,73.65314,106.92668
Taylor Gabriel,68.51974,106.729515
Adam Thielen,72.85732,105.73229
Danny Amendola,58.16448,101.49511
Russell Gage,61.06958,99.79551
Mohamed Sanu,57.19444,99.592445
Adam Humphries,60.22291,98.29075
Steven Sims,60.398552,94.25758
Allen Lazard,59.91185,93.959435
Phillip Dorsett,60.377968,93.50928
Albert Wilson,54.775436,92.5927
Damiere Byrd,57.05745,92.48684
Greg Ward,55.950302,89.94239
Tre'Quan Smith,59.530037,89.298996
Alex Erickson,53.876522,85.7058
Kendrick Bourne,53.362133,84.96525
Demaryius Thomas,54.32907,84.85514
Demarcus Robinson,55.03187,84.19657
Paul Richardson,51.348392,81.838524
Josh Gordon,52.25359,81.55844
Marcus Johnson,53.902145,80.90931
Olabisi Johnson,50.475655,79.7992
Keke Coutee,51.831696,79.600685
Trey Quinn,47.594006,78.633
KeeSean Johnson,48.326565,78.329506
Jakobi Meyers,47.10101,77.202774
Allen Hurns,48.75137,76.767365
Isaiah Ford,48.114746,76.208046
Marquez Valdes-Scantling,50.241707,75.52713
Tajae Sharpe,48.7917,74.378746
David Moore,48.385204,73.92452
Kelvin Harmon,44.68403,72.402405
Parris Campbell,45.580257,72.36704
DaeSean Hamilton,43.07913,71.73584
